year,genre_simplified,genderLabel,actorCount
2016,Action,female,451
2016,Action,male,1041
2016,Comedy,female,343
2016,Comedy,male,545
2016,Documentary,female,62
2016,Documentary,male,161
2016,Drama,female,860
2016,Drama,male,1540
2016,Horror,female,191
2016,Horror,male,222
2016,Romance,female,159
2016,Romance,male,174
2016,Thriller_Crime,female,559
2016,Thriller_Crime,male,1066
2017,Action,female,371
2017,Action,male,814
2017,Comedy,female,279
2017,Comedy,male,440
2017,Documentary,female,17
2017,Documentary,male,65
2017,Drama,female,994
2017,Drama,male,1548
2017,Horror,female,158
2017,Horror,male,231
2017,Romance,female,177
2017,Romance,male,226
2017,Thriller_Crime,female,462
2017,Thriller_Crime,male,874
2018,Action,female,387
2018,Action,male,810
2018,Comedy,female,197
2018,Comedy,male,285
2018,Documentary,female,28
2018,Documentary,male,38
2018,Drama,female,704
2018,Drama,male,1086
2018,Horror,female,133
2018,Horror,male,170
2018,Romance,female,131
2018,Romance,male,173
2018,Thriller_Crime,female,547
2018,Thriller_Crime,male,929
2019,Action,female,344
2019,Action,male,734
2019,Comedy,female,236
2019,Comedy,male,356
2019,Documentary,female,25
2019,Documentary,male,38
2019,Drama,female,697
2019,Drama,male,1124
2019,Horror,female,148
2019,Horror,male,216
2019,Romance,female,77
2019,Romance,male,94
2019,Thriller_Crime,female,354
2019,Thriller_Crime,male,662
2020,Action,female,192
2020,Action,male,398
2020,Comedy,female,210
2020,Comedy,male,293
2020,Documentary,female,25
2020,Documentary,male,60
2020,Drama,female,490
2020,Drama,male,779
2020,Horror,female,117
2020,Horror,male,182
2020,Romance,female,64
2020,Romance,male,86
2020,Thriller_Crime,female,187
2020,Thriller_Crime,male,337
2021,Action,female,187
2021,Action,male,434
2021,Comedy,female,141
2021,Comedy,male,228
2021,Documentary,female,3
2021,Documentary,male,7
2021,Drama,female,384
2021,Drama,male,612
2021,Horror,female,112
2021,Horror,male,148
2021,Romance,female,53
2021,Romance,male,93
2021,Thriller_Crime,female,207
2021,Thriller_Crime,male,348
2022,Action,female,387
2022,Action,male,751
2022,Comedy,female,355
2022,Comedy,male,409
2022,Documentary,female,1
2022,Documentary,male,20
2022,Drama,female,509
2022,Drama,male,749
2022,Horror,female,122
2022,Horror,male,178
2022,Romance,female,85
2022,Romance,male,93
2022,Thriller_Crime,female,288
2022,Thriller_Crime,male,590
2023,Action,female,303
2023,Action,male,664
2023,Comedy,female,371
2023,Comedy,male,565
2023,Documentary,female,3
2023,Documentary,male,9
2023,Drama,female,587
2023,Drama,male,1013
2023,Horror,female,110
2023,Horror,male,145
2023,Romance,female,167
2023,Romance,male,233
2023,Thriller_Crime,female,279
2023,Thriller_Crime,male,552
2024,Action,female,232
2024,Action,male,500
2024,Comedy,female,240
2024,Comedy,male,332
2024,Documentary,female,3
2024,Documentary,male,5
2024,Drama,female,520
2024,Drama,male,778
2024,Horror,female,137
2024,Horror,male,146
2024,Romance,female,70
2024,Romance,male,95
2024,Thriller_Crime,female,305
2024,Thriller_Crime,male,523
2025,Action,female,321
2025,Action,male,608
2025,Comedy,female,218
2025,Comedy,male,295
2025,Documentary,female,1
2025,Documentary,male,8
2025,Drama,female,449
2025,Drama,male,783
2025,Horror,female,130
2025,Horror,male,208
2025,Romance,female,48
2025,Romance,male,77
2025,Thriller_Crime,female,347
2025,Thriller_Crime,male,650
2026,Action,female,78
2026,Action,male,161
2026,Comedy,female,93
2026,Comedy,male,108
2026,Documentary,female,2
2026,Drama,female,180
2026,Drama,male,255
2026,Horror,female,79
2026,Horror,male,101
2026,Romance,female,26
2026,Romance,male,28
2026,Thriller_Crime,female,143
2026,Thriller_Crime,male,222
