year,genre_simplified,genderLabel,actorCount
2016,Action,female,470
2016,Action,male,1107
2016,Comedy,female,369
2016,Comedy,male,579
2016,Documentary,female,68
2016,Documentary,male,178
2016,Drama,female,920
2016,Drama,male,1623
2016,Horror,female,205
2016,Horror,male,229
2016,Romance,female,165
2016,Romance,male,182
2016,Thriller_Crime,female,461
2016,Thriller_Crime,male,908
2017,Action,female,391
2017,Action,male,864
2017,Comedy,female,294
2017,Comedy,male,468
2017,Documentary,female,21
2017,Documentary,male,70
2017,Drama,female,1054
2017,Drama,male,1626
2017,Horror,female,167
2017,Horror,male,245
2017,Romance,female,188
2017,Romance,male,237
2017,Thriller_Crime,female,417
2017,Thriller_Crime,male,795
2018,Action,female,412
2018,Action,male,846
2018,Comedy,female,208
2018,Comedy,male,297
2018,Documentary,female,31
2018,Documentary,male,40
2018,Drama,female,748
2018,Drama,male,1153
2018,Horror,female,137
2018,Horror,male,175
2018,Romance,female,140
2018,Romance,male,181
2018,Thriller_Crime,female,486
2018,Thriller_Crime,male,803
2019,Action,female,362
2019,Action,male,775
2019,Comedy,female,251
2019,Comedy,male,371
2019,Documentary,female,25
2019,Documentary,male,42
2019,Drama,female,742
2019,Drama,male,1199
2019,Horror,female,155
2019,Horror,male,225
2019,Romance,female,83
2019,Romance,male,103
2019,Thriller_Crime,female,326
2019,Thriller_Crime,male,619
2020,Action,female,212
2020,Action,male,418
2020,Comedy,female,225
2020,Comedy,male,308
2020,Documentary,female,26
2020,Documentary,male,64
2020,Drama,female,529
2020,Drama,male,837
2020,Horror,female,129
2020,Horror,male,191
2020,Romance,female,66
2020,Romance,male,91
2020,Thriller_Crime,female,208
2020,Thriller_Crime,male,360
2021,Action,female,200
2021,Action,male,454
2021,Comedy,female,150
2021,Comedy,male,244
2021,Documentary,female,4
2021,Documentary,male,7
2021,Drama,female,404
2021,Drama,male,644
2021,Horror,female,115
2021,Horror,male,157
2021,Romance,female,55
2021,Romance,male,98
2021,Thriller_Crime,female,212
2021,Thriller_Crime,male,365
2022,Action,female,431
2022,Action,male,805
2022,Comedy,female,373
2022,Comedy,male,426
2022,Documentary,female,1
2022,Documentary,male,21
2022,Drama,female,544
2022,Drama,male,794
2022,Horror,female,128
2022,Horror,male,190
2022,Romance,female,92
2022,Romance,male,97
2022,Thriller_Crime,female,315
2022,Thriller_Crime,male,629
2023,Action,female,328
2023,Action,male,687
2023,Comedy,female,387
2023,Comedy,male,586
2023,Documentary,female,3
2023,Documentary,male,9
2023,Drama,female,622
2023,Drama,male,1056
2023,Horror,female,116
2023,Horror,male,151
2023,Romance,female,169
2023,Romance,male,240
2023,Thriller_Crime,female,299
2023,Thriller_Crime,male,579
2024,Action,female,244
2024,Action,male,521
2024,Comedy,female,251
2024,Comedy,male,351
2024,Documentary,female,3
2024,Documentary,male,5
2024,Drama,female,544
2024,Drama,male,814
2024,Horror,female,142
2024,Horror,male,159
2024,Romance,female,75
2024,Romance,male,99
2024,Thriller_Crime,female,326
2024,Thriller_Crime,male,561
2025,Action,female,343
2025,Action,male,646
2025,Comedy,female,227
2025,Comedy,male,314
2025,Documentary,female,2
2025,Documentary,male,8
2025,Drama,female,483
2025,Drama,male,831
2025,Horror,female,134
2025,Horror,male,219
2025,Romance,female,51
2025,Romance,male,81
2025,Thriller_Crime,female,363
2025,Thriller_Crime,male,688
