year,genre_simplified,genderLabel,actorCount,share
2016,Action,female,470,29.803424223208623
2016,Action,male,1107,70.19657577679138
2016,Comedy,female,369,38.924050632911396
2016,Comedy,male,579,61.07594936708861
2016,Documentary,female,68,27.64227642276423
2016,Documentary,male,178,72.35772357723577
2016,Drama,female,920,36.17774282343689
2016,Drama,male,1623,63.82225717656311
2016,Horror,female,205,47.235023041474655
2016,Horror,male,229,52.764976958525345
2016,Romance,female,165,47.55043227665706
2016,Romance,male,182,52.44956772334294
2016,Thriller_Crime,female,461,33.674214755295836
2016,Thriller_Crime,male,908,66.32578524470416
2017,Action,female,391,31.155378486055778
2017,Action,male,864,68.84462151394423
2017,Comedy,female,294,38.582677165354326
2017,Comedy,male,468,61.417322834645674
2017,Documentary,female,21,23.076923076923077
2017,Documentary,male,70,76.92307692307693
2017,Drama,female,1054,39.32835820895522
2017,Drama,male,1626,60.67164179104477
2017,Horror,female,167,40.53398058252427
2017,Horror,male,245,59.46601941747572
2017,Romance,female,188,44.23529411764706
2017,Romance,male,237,55.76470588235294
2017,Thriller_Crime,female,417,34.4059405940594
2017,Thriller_Crime,male,795,65.5940594059406
2018,Action,female,412,32.75039745627981
2018,Action,male,846,67.24960254372019
2018,Comedy,female,208,41.18811881188119
2018,Comedy,male,297,58.81188118811881
2018,Documentary,female,31,43.66197183098591
2018,Documentary,male,40,56.33802816901409
2018,Drama,female,748,39.34771173066807
2018,Drama,male,1153,60.65228826933193
2018,Horror,female,137,43.91025641025641
2018,Horror,male,175,56.08974358974359
2018,Romance,female,140,43.613707165109034
2018,Romance,male,181,56.38629283489096
2018,Thriller_Crime,female,486,37.70364623739333
2018,Thriller_Crime,male,803,62.29635376260667
2019,Action,female,362,31.838170624450306
2019,Action,male,775,68.16182937554969
2019,Comedy,female,251,40.353697749196144
2019,Comedy,male,371,59.64630225080386
2019,Documentary,female,25,37.3134328358209
2019,Documentary,male,42,62.68656716417911
2019,Drama,female,742,38.22771767130345
2019,Drama,male,1199,61.77228232869655
2019,Horror,female,155,40.78947368421053
2019,Horror,male,225,59.210526315789465
2019,Romance,female,83,44.623655913978496
2019,Romance,male,103,55.376344086021504
2019,Thriller_Crime,female,326,34.4973544973545
2019,Thriller_Crime,male,619,65.5026455026455
2020,Action,female,212,33.65079365079365
2020,Action,male,418,66.34920634920634
2020,Comedy,female,225,42.21388367729831
2020,Comedy,male,308,57.78611632270169
2020,Documentary,female,26,28.888888888888886
2020,Documentary,male,64,71.11111111111111
2020,Drama,female,529,38.726207906295755
2020,Drama,male,837,61.27379209370425
2020,Horror,female,129,40.3125
2020,Horror,male,191,59.68750000000001
2020,Romance,female,66,42.038216560509554
2020,Romance,male,91,57.961783439490446
2020,Thriller_Crime,female,208,36.61971830985916
2020,Thriller_Crime,male,360,63.38028169014085
2021,Action,female,200,30.58103975535168
2021,Action,male,454,69.41896024464832
2021,Comedy,female,150,38.07106598984771
2021,Comedy,male,244,61.92893401015228
2021,Documentary,female,4,36.36363636363637
2021,Documentary,male,7,63.63636363636363
2021,Drama,female,404,38.54961832061068
2021,Drama,male,644,61.45038167938931
2021,Horror,female,115,42.279411764705884
2021,Horror,male,157,57.720588235294116
2021,Romance,female,55,35.947712418300654
2021,Romance,male,98,64.05228758169935
2021,Thriller_Crime,female,212,36.741767764298096
2021,Thriller_Crime,male,365,63.258232235701904
2022,Action,female,431,34.8705501618123
2022,Action,male,805,65.1294498381877
2022,Comedy,female,373,46.68335419274093
2022,Comedy,male,426,53.31664580725908
2022,Documentary,female,1,4.545454545454546
2022,Documentary,male,21,95.45454545454545
2022,Drama,female,544,40.657698056801195
2022,Drama,male,794,59.342301943198805
2022,Horror,female,128,40.25157232704403
2022,Horror,male,190,59.74842767295597
2022,Romance,female,92,48.67724867724868
2022,Romance,male,97,51.32275132275132
2022,Thriller_Crime,female,315,33.36864406779661
2022,Thriller_Crime,male,629,66.63135593220339
2023,Action,female,328,32.31527093596059
2023,Action,male,687,67.6847290640394
2023,Comedy,female,387,39.77389516957862
2023,Comedy,male,586,60.22610483042138
2023,Documentary,female,3,25.0
2023,Documentary,male,9,75.0
2023,Drama,female,622,37.06793802145411
2023,Drama,male,1056,62.93206197854588
2023,Horror,female,116,43.445692883895134
2023,Horror,male,151,56.55430711610487
2023,Romance,female,169,41.32029339853301
2023,Romance,male,240,58.679706601467
2023,Thriller_Crime,female,299,34.054669703872435
2023,Thriller_Crime,male,579,65.94533029612755
2024,Action,female,244,31.895424836601304
2024,Action,male,521,68.10457516339869
2024,Comedy,female,251,41.69435215946844
2024,Comedy,male,351,58.30564784053156
2024,Documentary,female,3,37.5
2024,Documentary,male,5,62.5
2024,Drama,female,544,40.058910162002945
2024,Drama,male,814,59.941089837997055
2024,Horror,female,142,47.176079734219265
2024,Horror,male,159,52.823920265780735
2024,Romance,female,75,43.103448275862064
2024,Romance,male,99,56.896551724137936
2024,Thriller_Crime,female,326,36.753100338218715
2024,Thriller_Crime,male,561,63.246899661781285
2025,Action,female,343,34.681496461071795
2025,Action,male,646,65.31850353892821
2025,Comedy,female,227,41.95933456561922
2025,Comedy,male,314,58.04066543438078
2025,Documentary,female,2,20.0
2025,Documentary,male,8,80.0
2025,Drama,female,483,36.757990867579906
2025,Drama,male,831,63.242009132420094
2025,Horror,female,134,37.960339943342774
2025,Horror,male,219,62.03966005665722
2025,Romance,female,51,38.63636363636363
2025,Romance,male,81,61.36363636363637
2025,Thriller_Crime,female,363,34.53853472882968
2025,Thriller_Crime,male,688,65.46146527117031
